"Story","Title","Result","Date","Stability","Duration (s)"
"Categories","GET - As a user I have to able to get detail categories","SUCCESS","2022-05-20T14:12:12.0687649+07:00[Asia/Jakarta]","0.0","17.78"
"Categories","POST - As a user I have to be able to create new categories","SUCCESS","2022-05-20T14:12:29.8836737+07:00[Asia/Jakarta]","0.0","4.98"
"Comments","GET - As a user I have to able to get comments","SUCCESS","2022-05-20T14:12:12.7471982+07:00[Asia/Jakarta]","0.0","17.03"
"Comments","POST - As a user I have to be able to create new comments","SUCCESS","2022-05-20T14:12:29.8211746+07:00[Asia/Jakarta]","0.0","4.89"
"Products","GET - As a user I have to able to get detail products","SUCCESS","2022-05-20T14:12:12.8161173+07:00[Asia/Jakarta]","0.0","16.93"
"Products","GET - As a user I can get detail product by ID","SUCCESS","2022-05-20T14:12:29.7644522+07:00[Asia/Jakarta]","0.0","4.98"
"Products","POST - As a user I have to be able to create new products","SUCCESS","2022-05-20T14:12:34.8261384+07:00[Asia/Jakarta]","0.0","1.09"
"Ratings","GET - As a user I have to able to get rating","SUCCESS","2022-05-20T14:12:12.5597043+07:00[Asia/Jakarta]","0.0","17.16"
"Ratings","POST - As a user I have to be able to create new rating","SUCCESS","2022-05-20T14:12:29.9930453+07:00[Asia/Jakarta]","0.0","0.76"
"Transaction","POST - As an admin I have to be able to create transaction","SUCCESS","2022-05-20T14:12:12.5440758+07:00[Asia/Jakarta]","0.0","17.55"
"Transaction","GET - As a user I can get all data transaction","SUCCESS","2022-05-20T14:12:30.1128605+07:00[Asia/Jakarta]","0.0","4.28"
